"행정구역","2025년01월_총인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율"
"서울특별시  (1100000000)","9,330,658","4,482,949","          2.08","4,504,432","4,826,226","          0.93"
"서울특별시 종로구 (1111000000)","138,208","72,156","          1.92","66,514","71,694","          0.93"
"서울특별시 중구 (1114000000)","120,325","64,933","          1.85","57,948","62,377","          0.93"
"서울특별시 용산구 (1117000000)","203,727","103,204","          1.97","97,392","106,335","          0.92"
"서울특별시 성동구 (1120000000)","273,549","131,857","          2.07","132,354","141,195","          0.94"
"서울특별시 광진구 (1121500000)","331,589","169,878","          1.95","158,992","172,597","          0.92"
"서울특별시 동대문구 (1123000000)","338,822","172,811","          1.96","165,648","173,174","          0.96"
"서울특별시 중랑구 (1126000000)","378,971","188,637","          2.01","185,333","193,638","          0.96"
"서울특별시 성북구 (1129000000)","420,710","196,178","          2.14","201,577","219,133","          0.92"
"서울특별시 강북구 (1130500000)","283,293","143,035","          1.98","136,674","146,619","          0.93"
"서울특별시 도봉구 (1132000000)","303,057","138,769","          2.18","146,548","156,509","          0.94"
"서울특별시 노원구 (1135000000)","490,307","217,328","          2.26","234,936","255,371","          0.92"
"서울특별시 은평구 (1138000000)","460,738","215,398","          2.14","218,101","242,637","          0.90"
"서울특별시 서대문구 (1141000000)","302,297","145,914","          2.07","143,239","159,058","          0.90"
"서울특별시 마포구 (1144000000)","360,981","180,980","          1.99","168,088","192,893","          0.87"
"서울특별시 양천구 (1147000000)","430,618","180,118","          2.39","209,958","220,660","          0.95"
"서울특별시 강서구 (1150000000)","555,518","273,773","          2.03","265,867","289,651","          0.92"
"서울특별시 구로구 (1153000000)","387,510","183,840","          2.11","189,651","197,859","          0.96"
"서울특별시 금천구 (1154500000)","224,924","121,026","          1.86","113,054","111,870","          1.01"
"서울특별시 영등포구 (1156000000)","373,307","192,170","          1.94","182,615","190,692","          0.96"
"서울특별시 동작구 (1159000000)","375,456","186,838","          2.01","181,356","194,100","          0.93"
"서울특별시 관악구 (1162000000)","477,940","286,279","          1.67","240,565","237,375","          1.01"
"서울특별시 서초구 (1165000000)","408,324","170,701","          2.39","194,124","214,200","          0.91"
"서울특별시 강남구 (1168000000)","557,115","244,962","          2.27","266,239","290,876","          0.92"
"서울특별시 송파구 (1171000000)","649,071","286,796","          2.26","311,160","337,911","          0.92"
"서울특별시 강동구 (1174000000)","484,301","215,368","          2.25","236,499","247,802","          0.95"
"부산광역시  (2600000000)","3,263,891","1,569,695","          2.08","1,588,357","1,675,534","          0.95"
"부산광역시 중구 (2611000000)","37,469","23,509","          1.59","18,209","19,260","          0.95"
"부산광역시 서구 (2614000000)","103,065","53,584","          1.92","49,454","53,611","          0.92"
"부산광역시 동구 (2617000000)","85,857","47,040","          1.83","41,669","44,188","          0.94"
"부산광역시 영도구 (2620000000)","103,503","53,560","          1.93","50,766","52,737","          0.96"
"부산광역시 부산진구 (2623000000)","359,150","184,230","          1.95","171,994","187,156","          0.92"
"부산광역시 동래구 (2626000000)","274,843","122,410","          2.25","132,444","142,399","          0.93"
"부산광역시 남구 (2629000000)","253,970","119,408","          2.13","123,515","130,455","          0.95"
"부산광역시 북구 (2632000000)","267,287","122,321","          2.19","131,133","136,154","          0.96"
"부산광역시 해운대구 (2635000000)","376,213","169,837","          2.22","180,186","196,027","          0.92"
"부산광역시 사하구 (2638000000)","292,117","140,573","          2.08","144,881","147,236","          0.98"
"부산광역시 금정구 (2641000000)","209,326","104,496","          2.00","101,891","107,435","          0.95"
"부산광역시 강서구 (2644000000)","142,869","62,436","          2.29","73,992","68,877","          1.07"
"부산광역시 연제구 (2647000000)","212,566","99,571","          2.13","101,515","111,051","          0.91"
"부산광역시 수영구 (2650000000)","171,871","88,118","          1.95","80,418","91,453","          0.88"
"부산광역시 사상구 (2653000000)","198,258","99,415","          1.99","99,327","98,931","          1.00"
"부산광역시 기장군 (2671000000)","175,527","79,187","          2.22","86,963","88,564","          0.98"
"대구광역시  (2700000000)","2,363,281","1,104,490","          2.14","1,159,235","1,204,046","          0.96"
"대구광역시 중구 (2711000000)","98,112","48,972","          2.00","46,959","51,153","          0.92"
"대구광역시 동구 (2714000000)","342,133","164,871","          2.08","167,334","174,799","          0.96"
"대구광역시 서구 (2717000000)","162,815","84,179","          1.93","80,662","82,153","          0.98"
"대구광역시 남구 (2720000000)","136,642","75,367","          1.81","65,179","71,463","          0.91"
"대구광역시 북구 (2723000000)","412,347","191,556","          2.15","204,215","208,132","          0.98"
"대구광역시 수성구 (2726000000)","409,676","174,897","          2.34","197,089","212,587","          0.93"
"대구광역시 달서구 (2729000000)","521,673","237,488","          2.20","255,670","266,003","          0.96"
"대구광역시 달성군 (2771000000)","257,469","113,775","          2.26","130,531","126,938","          1.03"
"대구광역시 군위군 (2772000000)","22,414","13,385","          1.67","11,596","10,818","          1.07"
"인천광역시  (2800000000)","3,023,649","1,375,788","          2.20","1,510,615","1,513,034","          1.00"
"인천광역시 중구 (2811000000)","168,271","84,410","          1.99","87,070","81,201","          1.07"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","58,162","27,750","          2.10","29,143","29,019","          1.00"
"인천광역시 미추홀구 (2817700000)","412,621","201,203","          2.05","207,592","205,029","          1.01"
"인천광역시 연수구 (2818500000)","400,461","163,884","          2.44","198,189","202,272","          0.98"
"인천광역시 남동구 (2820000000)","485,702","224,930","          2.16","240,980","244,722","          0.98"
"인천광역시 부평구 (2823700000)","493,853","225,553","          2.19","242,819","251,034","          0.97"
"인천광역시 계양구 (2824500000)","279,685","127,621","          2.19","139,075","140,610","          0.99"
"인천광역시 서구 (2826000000)","635,553","272,493","          2.33","319,743","315,810","          1.01"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,439","35,643","          1.95","34,719","34,720","          1.00"
"인천광역시 옹진군 (2872000000)","19,902","12,301","          1.62","11,285","8,617","          1.31"
"광주광역시  (2900000000)","1,407,097","657,716","          2.14","694,532","712,565","          0.97"
"광주광역시 동구 (2911000000)","105,910","55,184","          1.92","52,047","53,863","          0.97"
"광주광역시 서구 (2914000000)","278,614","132,630","          2.10","136,301","142,313","          0.96"
"광주광역시 남구 (2915500000)","208,004","95,626","          2.18","99,428","108,576","          0.92"
"광주광역시 북구 (2917000000)","423,403","202,339","          2.09","209,308","214,095","          0.98"
"광주광역시 광산구 (2920000000)","391,166","171,937","          2.28","197,448","193,718","          1.02"
"대전광역시  (3000000000)","1,438,974","687,941","          2.09","717,162","721,812","          0.99"
"대전광역시 동구 (3011000000)","219,439","111,384","          1.97","110,469","108,970","          1.01"
"대전광역시 중구 (3014000000)","224,881","108,283","          2.08","110,241","114,640","          0.96"
"대전광역시 서구 (3017000000)","457,758","217,252","          2.11","224,301","233,457","          0.96"
"대전광역시 유성구 (3020000000)","369,111","170,125","          2.17","186,961","182,150","          1.03"
"대전광역시 대덕구 (3023000000)","167,785","80,897","          2.07","85,190","82,595","          1.03"
"울산광역시  (3100000000)","1,097,821","495,677","          2.21","564,893","532,928","          1.06"
"울산광역시 중구 (3111000000)","206,883","94,855","          2.18","104,699","102,184","          1.02"
"울산광역시 남구 (3114000000)","304,922","141,500","          2.15","155,828","149,094","          1.05"
"울산광역시 동구 (3117000000)","150,761","68,126","          2.21","78,671","72,090","          1.09"
"울산광역시 북구 (3120000000)","216,375","89,173","          2.43","112,292","104,083","          1.08"
"울산광역시 울주군 (3171000000)","218,880","102,023","          2.15","113,403","105,477","          1.08"
"세종특별자치시  (3600000000)","390,910","163,404","          2.39","194,470","196,440","          0.99"
"세종특별자치시  (3611000000)","390,910","163,404","          2.39","194,470","196,440","          0.99"
"경기도  (4100000000)","13,699,647","6,062,570","          2.26","6,884,215","6,815,432","          1.01"
"경기도 수원시 (4111000000)","1,192,256","540,621","          2.21","599,280","592,976","          1.01"
"경기도 수원시 장안구 (4111100000)","274,216","122,570","          2.24","137,474","136,742","          1.01"
"경기도 수원시 권선구 (4111300000)","362,591","164,758","          2.20","183,150","179,441","          1.02"
"경기도 수원시 팔달구 (4111500000)","194,389","97,940","          1.98","97,791","96,598","          1.01"
"경기도 수원시 영통구 (4111700000)","361,060","155,353","          2.32","180,865","180,195","          1.00"
"경기도 성남시 (4113000000)","912,708","410,181","          2.23","451,277","461,431","          0.98"
"경기도 성남시 수정구 (4113100000)","234,721","116,771","          2.01","118,612","116,109","          1.02"
"경기도 성남시 중원구 (4113300000)","206,790","100,551","          2.06","104,303","102,487","          1.02"
"경기도 성남시 분당구 (4113500000)","471,197","192,859","          2.44","228,362","242,835","          0.94"
"경기도 의정부시 (4115000000)","461,142","210,392","          2.19","226,410","234,732","          0.96"
"경기도 안양시 (4117000000)","557,962","235,947","          2.36","275,133","282,829","          0.97"
"경기도 안양시 만안구 (4117100000)","230,510","103,270","          2.23","114,894","115,616","          0.99"
"경기도 안양시 동안구 (4117300000)","327,452","132,677","          2.47","160,239","167,213","          0.96"
"경기도 부천시 (4119000000)","769,084","343,393","          2.24","379,519","389,565","          0.97"
"경기도 부천시 원미구 (4119200000)","389,501","174,608","          2.23","191,205","198,296","          0.96"
"경기도 부천시 소사구 (4119400000)","227,754","99,141","          2.30","111,721","116,033","          0.96"
"경기도 부천시 오정구 (4119600000)","151,829","69,644","          2.18","76,593","75,236","          1.02"
"경기도 광명시 (4121000000)","279,805","115,826","          2.42","137,075","142,730","          0.96"
"경기도 평택시 (4122000000)","599,138","285,490","          2.10","314,577","284,561","          1.11"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","86,807","43,117","          2.01","43,260","43,547","          0.99"
"경기도 안산시 (4127000000)","619,381","287,811","          2.15","317,278","302,103","          1.05"
"경기도 안산시 상록구 (4127100000)","326,380","151,545","          2.15","166,624","159,756","          1.04"
"경기도 안산시 단원구 (4127300000)","293,001","136,266","          2.15","150,654","142,347","          1.06"
"경기도 고양시 (4128000000)","1,069,131","466,009","          2.29","520,912","548,219","          0.95"
"경기도 고양시 덕양구 (4128100000)","492,667","220,907","          2.23","241,671","250,996","          0.96"
"경기도 고양시 일산동구 (4128500000)","293,813","129,931","          2.26","142,589","151,224","          0.94"
"경기도 고양시 일산서구 (4128700000)","282,651","115,171","          2.45","136,652","145,999","          0.94"
"경기도 과천시 (4129000000)","85,501","30,872","          2.77","41,736","43,765","          0.95"
"경기도 구리시 (4131000000)","186,868","81,318","          2.30","92,460","94,408","          0.98"
"경기도 남양주시 (4136000000)","732,191","307,429","          2.38","362,441","369,750","          0.98"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","242,618","111,209","          2.18","126,453","116,165","          1.09"
"경기도 시흥시 (4139000000)","517,511","229,141","          2.26","269,669","247,842","          1.09"
"경기도 군포시 (4141000000)","255,533","112,222","          2.28","126,775","128,758","          0.98"
"경기도 의왕시 (4143000000)","154,351","62,747","          2.46","76,404","77,947","          0.98"
"경기도 하남시 (4145000000)","328,875","141,264","          2.33","163,452","165,423","          0.99"
"경기도 용인시 (4146000000)","1,087,144","444,269","          2.45","538,630","548,514","          0.98"
"경기도 용인시 처인구 (4146100000)","275,471","125,553","          2.19","141,061","134,410","          1.05"
"경기도 용인시 기흥구 (4146300000)","435,900","176,180","          2.47","214,716","221,184","          0.97"
"경기도 용인시 수지구 (4146500000)","375,773","142,536","          2.64","182,853","192,920","          0.95"
"경기도 파주시 (4148000000)","513,627","226,886","          2.26","259,434","254,193","          1.02"
"경기도 이천시 (4150000000)","222,420","105,601","          2.11","116,032","106,388","          1.09"
"경기도 안성시 (4155000000)","194,007","94,852","          2.05","100,275","93,732","          1.07"
"경기도 김포시 (4157000000)","486,651","206,362","          2.36","242,823","243,828","          1.00"
"경기도 화성시 (4159000000)","971,835","418,695","          2.32","504,386","467,449","          1.08"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0","          0.00"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0","          0.00"
"경기도 광주시 (4161000000)","397,410","174,796","          2.27","202,553","194,857","          1.04"
"경기도 양주시 (4163000000)","289,527","128,640","          2.25","145,726","143,801","          1.01"
"경기도 포천시 (4165000000)","141,444","73,141","          1.93","74,760","66,684","          1.12"
"경기도 여주시 (4167000000)","114,562","56,456","          2.03","58,338","56,224","          1.04"
"경기도 연천군 (4180000000)","40,894","21,775","          1.88","21,405","19,489","          1.10"
"경기도 가평군 (4182000000)","62,472","32,998","          1.89","32,165","30,307","          1.06"
"경기도 양평군 (4183000000)","126,792","63,110","          2.01","63,577","63,215","          1.01"
"강원특별자치도  (5100000000)","1,515,822","764,301","          1.98","762,039","753,783","          1.01"
"강원특별자치도 춘천시 (5111000000)","285,864","137,070","          2.09","141,059","144,805","          0.97"
"강원특별자치도 원주시 (5113000000)","362,159","173,682","          2.09","179,271","182,888","          0.98"
"강원특별자치도 강릉시 (5115000000)","207,543","104,268","          1.99","102,789","104,754","          0.98"
"강원특별자치도 동해시 (5117000000)","87,571","43,611","          2.01","44,439","43,132","          1.03"
"강원특별자치도 태백시 (5119000000)","37,875","20,224","          1.87","19,140","18,735","          1.02"
"강원특별자치도 속초시 (5121000000)","80,754","41,209","          1.96","39,851","40,903","          0.97"
"강원특별자치도 삼척시 (5123000000)","61,464","33,459","          1.84","31,279","30,185","          1.04"
"강원특별자치도 홍천군 (5172000000)","66,661","34,905","          1.91","34,408","32,253","          1.07"
"강원특별자치도 횡성군 (5173000000)","46,037","24,039","          1.92","23,660","22,377","          1.06"
"강원특별자치도 영월군 (5175000000)","36,603","21,070","          1.74","18,918","17,685","          1.07"
"강원특별자치도 평창군 (5176000000)","40,305","22,054","          1.83","20,915","19,390","          1.08"
"강원특별자치도 정선군 (5177000000)","33,487","19,112","          1.75","17,467","16,020","          1.09"
"강원특별자치도 철원군 (5178000000)","40,408","20,273","          1.99","20,882","19,526","          1.07"
"강원특별자치도 화천군 (5179000000)","22,764","11,999","          1.90","12,203","10,561","          1.16"
"강원특별자치도 양구군 (5180000000)","20,552","10,375","          1.98","10,749","9,803","          1.10"
"강원특별자치도 인제군 (5181000000)","31,385","16,669","          1.88","17,147","14,238","          1.20"
"강원특별자치도 고성군 (5182000000)","26,920","15,302","          1.76","13,798","13,122","          1.05"
"강원특별자치도 양양군 (5183000000)","27,470","14,980","          1.83","14,064","13,406","          1.05"
"충청북도  (4300000000)","1,590,666","787,774","          2.02","809,763","780,903","          1.04"
"충청북도 청주시 (4311000000)","854,742","404,700","          2.11","431,908","422,834","          1.02"
"충청북도 청주시 상당구 (4311100000)","197,879","89,661","          2.21","98,267","99,612","          0.99"
"충청북도 청주시 서원구 (4311200000)","181,285","87,803","          2.06","90,261","91,024","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","286,480","136,622","          2.10","145,958","140,522","          1.04"
"충청북도 청주시 청원구 (4311400000)","189,098","90,614","          2.09","97,422","91,676","          1.06"
"충청북도 충주시 (4313000000)","207,230","103,658","          2.00","105,066","102,164","          1.03"
"충청북도 제천시 (4315000000)","128,352","65,748","          1.95","64,697","63,655","          1.02"
"충청북도 보은군 (4372000000)","30,494","16,815","          1.81","15,500","14,994","          1.03"
"충청북도 옥천군 (4373000000)","48,119","25,330","          1.90","24,356","23,763","          1.02"
"충청북도 영동군 (4374000000)","43,504","23,712","          1.83","21,910","21,594","          1.01"
"충청북도 증평군 (4374500000)","37,160","18,970","          1.96","19,346","17,814","          1.09"
"충청북도 진천군 (4375000000)","86,429","42,940","          2.01","45,679","40,750","          1.12"
"충청북도 괴산군 (4376000000)","36,115","21,302","          1.70","18,722","17,393","          1.08"
"충청북도 음성군 (4377000000)","91,228","49,290","          1.85","48,636","42,592","          1.14"
"충청북도 단양군 (4380000000)","27,293","15,309","          1.78","13,943","13,350","          1.04"
"충청남도  (4400000000)","2,135,815","1,052,547","          2.03","1,095,933","1,039,882","          1.05"
"충청남도 천안시 (4413000000)","660,147","312,729","          2.11","338,827","321,320","          1.05"
"충청남도 천안시 동남구 (4413100000)","260,787","124,899","          2.09","132,330","128,457","          1.03"
"충청남도 천안시 서북구 (4413300000)","399,360","187,830","          2.13","206,497","192,863","          1.07"
"충청남도 공주시 (4415000000)","101,068","53,446","          1.89","50,467","50,601","          1.00"
"충청남도 보령시 (4418000000)","93,575","49,196","          1.90","47,343","46,232","          1.02"
"충청남도 아산시 (4420000000)","355,374","165,369","          2.15","185,311","170,063","          1.09"
"충청남도 서산시 (4421000000)","174,139","84,074","          2.07","91,165","82,974","          1.10"
"충청남도 논산시 (4423000000)","108,302","57,289","          1.89","54,231","54,071","          1.00"
"충청남도 계룡시 (4425000000)","46,307","19,463","          2.38","23,088","23,219","          0.99"
"충청남도 당진시 (4427000000)","172,139","85,308","          2.02","92,280","79,859","          1.16"
"충청남도 금산군 (4471000000)","49,442","26,635","          1.86","25,075","24,367","          1.03"
"충청남도 부여군 (4476000000)","59,484","32,334","          1.84","29,637","29,847","          0.99"
"충청남도 서천군 (4477000000)","48,119","26,407","          1.82","23,836","24,283","          0.98"
"충청남도 청양군 (4479000000)","29,551","16,688","          1.77","15,109","14,442","          1.05"
"충청남도 홍성군 (4480000000)","99,287","49,292","          2.01","49,597","49,690","          1.00"
"충청남도 예산군 (4481000000)","78,879","40,933","          1.93","39,598","39,281","          1.01"
"충청남도 태안군 (4482500000)","60,002","33,384","          1.80","30,369","29,633","          1.02"
"전북특별자치도  (5200000000)","1,737,351","864,338","          2.01","865,346","872,005","          0.99"
"전북특별자치도 전주시 (5211000000)","634,548","296,642","          2.14","311,509","323,039","          0.96"
"전북특별자치도 전주시 완산구 (5211100000)","321,219","152,891","          2.10","155,747","165,472","          0.94"
"전북특별자치도 전주시 덕진구 (5211300000)","313,329","143,751","          2.18","155,762","157,567","          0.99"
"전북특별자치도 군산시 (5213000000)","257,832","125,182","          2.06","130,836","126,996","          1.03"
"전북특별자치도 익산시 (5214000000)","267,654","130,985","          2.04","133,218","134,436","          0.99"
"전북특별자치도 정읍시 (5218000000)","101,986","54,487","          1.87","50,957","51,029","          1.00"
"전북특별자치도 남원시 (5219000000)","75,604","39,918","          1.89","37,105","38,499","          0.96"
"전북특별자치도 김제시 (5221000000)","80,979","43,926","          1.84","40,530","40,449","          1.00"
"전북특별자치도 완주군 (5271000000)","99,668","49,640","          2.01","51,148","48,520","          1.05"
"전북특별자치도 진안군 (5272000000)","24,217","13,695","          1.77","12,388","11,829","          1.05"
"전북특별자치도 무주군 (5273000000)","23,021","13,015","          1.77","11,572","11,449","          1.01"
"전북특별자치도 장수군 (5274000000)","20,618","11,494","          1.79","10,346","10,272","          1.01"
"전북특별자치도 임실군 (5275000000)","25,578","14,899","          1.72","13,205","12,373","          1.07"
"전북특별자치도 순창군 (5277000000)","26,788","14,497","          1.85","13,195","13,593","          0.97"
"전북특별자치도 고창군 (5279000000)","50,869","28,559","          1.78","25,375","25,494","          1.00"
"전북특별자치도 부안군 (5280000000)","47,989","27,399","          1.75","23,962","24,027","          1.00"
"전라남도  (4600000000)","1,787,592","912,344","          1.96","901,816","885,776","          1.02"
"전라남도 목포시 (4611000000)","209,289","104,058","          2.01","104,067","105,222","          0.99"
"전라남도 여수시 (4613000000)","267,338","128,252","          2.08","136,030","131,308","          1.04"
"전라남도 순천시 (4615000000)","276,153","127,042","          2.17","137,835","138,318","          1.00"
"전라남도 나주시 (4617000000)","116,710","59,932","          1.95","58,969","57,741","          1.02"
"전라남도 광양시 (4623000000)","154,914","72,435","          2.14","81,234","73,680","          1.10"
"전라남도 담양군 (4671000000)","44,569","24,163","          1.84","22,481","22,088","          1.02"
"전라남도 곡성군 (4672000000)","26,548","15,613","          1.70","13,180","13,368","          0.99"
"전라남도 구례군 (4673000000)","24,002","13,409","          1.79","11,724","12,278","          0.95"
"전라남도 고흥군 (4677000000)","60,100","35,238","          1.71","29,548","30,552","          0.97"
"전라남도 보성군 (4678000000)","37,149","21,788","          1.71","18,250","18,899","          0.97"
"전라남도 화순군 (4679000000)","60,737","31,822","          1.91","30,078","30,659","          0.98"
"전라남도 장흥군 (4680000000)","34,417","19,643","          1.75","16,886","17,531","          0.96"
"전라남도 강진군 (4681000000)","32,169","18,209","          1.77","15,755","16,414","          0.96"
"전라남도 해남군 (4682000000)","63,002","34,579","          1.82","31,576","31,426","          1.00"
"전라남도 영암군 (4683000000)","51,261","28,626","          1.79","26,871","24,390","          1.10"
"전라남도 무안군 (4684000000)","92,927","44,961","          2.07","46,624","46,303","          1.01"
"전라남도 함평군 (4686000000)","29,913","17,796","          1.68","15,215","14,698","          1.04"
"전라남도 영광군 (4687000000)","52,272","27,959","          1.87","26,156","26,116","          1.00"
"전라남도 장성군 (4688000000)","42,024","23,139","          1.82","21,534","20,490","          1.05"
"전라남도 완도군 (4689000000)","45,503","25,318","          1.80","23,014","22,489","          1.02"
"전라남도 진도군 (4690000000)","28,374","16,392","          1.73","14,135","14,239","          0.99"
"전라남도 신안군 (4691000000)","38,221","21,970","          1.74","20,654","17,567","          1.18"
"경상북도  (4700000000)","2,528,641","1,291,165","          1.96","1,279,180","1,249,461","          1.02"
"경상북도 포항시 (4711000000)","491,439","237,245","          2.07","249,576","241,863","          1.03"
"경상북도 포항시 남구 (4711100000)","219,629","109,382","          2.01","114,023","105,606","          1.08"
"경상북도 포항시 북구 (4711300000)","271,810","127,863","          2.13","135,553","136,257","          0.99"
"경상북도 경주시 (4713000000)","244,589","125,016","          1.96","122,546","122,043","          1.00"
"경상북도 김천시 (4715000000)","135,610","69,126","          1.96","68,184","67,426","          1.01"
"경상북도 안동시 (4717000000)","152,902","80,013","          1.91","75,689","77,213","          0.98"
"경상북도 구미시 (4719000000)","404,395","190,369","          2.12","208,838","195,557","          1.07"
"경상북도 영주시 (4721000000)","98,782","51,612","          1.91","49,138","49,644","          0.99"
"경상북도 영천시 (4723000000)","97,872","54,716","          1.79","50,073","47,799","          1.05"
"경상북도 상주시 (4725000000)","91,784","49,122","          1.87","45,304","46,480","          0.97"
"경상북도 문경시 (4728000000)","67,025","36,561","          1.83","32,936","34,089","          0.97"
"경상북도 경산시 (4729000000)","266,013","131,484","          2.02","133,658","132,355","          1.01"
"경상북도 의성군 (4773000000)","48,620","29,104","          1.67","24,224","24,396","          0.99"
"경상북도 청송군 (4775000000)","23,687","13,976","          1.69","11,881","11,806","          1.01"
"경상북도 영양군 (4776000000)","15,309","8,936","          1.71","7,636","7,673","          1.00"
"경상북도 영덕군 (4777000000)","33,123","19,465","          1.70","15,853","17,270","          0.92"
"경상북도 청도군 (4782000000)","40,544","23,426","          1.73","20,183","20,361","          0.99"
"경상북도 고령군 (4783000000)","30,041","17,316","          1.73","15,500","14,541","          1.07"
"경상북도 성주군 (4784000000)","41,396","24,103","          1.72","21,634","19,762","          1.09"
"경상북도 칠곡군 (4785000000)","107,142","53,809","          1.99","56,270","50,872","          1.11"
"경상북도 예천군 (4790000000)","54,480","27,964","          1.95","26,887","27,593","          0.97"
"경상북도 봉화군 (4792000000)","28,719","16,552","          1.74","14,685","14,034","          1.05"
"경상북도 울진군 (4793000000)","46,106","25,602","          1.80","23,375","22,731","          1.03"
"경상북도 울릉군 (4794000000)","9,063","5,648","          1.60","5,110","3,953","          1.29"
"경상남도  (4800000000)","3,226,599","1,537,606","          2.10","1,626,214","1,600,385","          1.02"
"경상남도 창원시 (4812000000)","999,399","459,671","          2.17","505,837","493,562","          1.02"
"경상남도 창원시 의창구 (4812100000)","209,732","97,185","          2.16","106,619","103,113","          1.03"
"경상남도 창원시 성산구 (4812300000)","244,262","107,367","          2.28","124,629","119,633","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","178,071","86,437","          2.06","88,330","89,741","          0.98"
"경상남도 창원시 마산회원구 (4812700000)","178,806","82,915","          2.16","89,184","89,622","          1.00"
"경상남도 창원시 진해구 (4812900000)","188,528","85,767","          2.20","97,075","91,453","          1.06"
"경상남도 진주시 (4817000000)","338,449","161,144","          2.10","167,242","171,207","          0.98"
"경상남도 통영시 (4822000000)","118,250","59,329","          1.99","59,380","58,870","          1.01"
"경상남도 사천시 (4824000000)","108,420","55,602","          1.95","55,016","53,404","          1.03"
"경상남도 사천남양출장소 (4824500000)","0","0","          0.00","0","0","          0.00"
"경상남도 김해시 (4825000000)","531,683","234,519","          2.27","268,986","262,697","          1.02"
"경상남도 장유출장소 (4825200000)","0","0","          0.00","0","0","          0.00"
"경상남도 밀양시 (4827000000)","100,544","53,987","          1.86","49,771","50,773","          0.98"
"경상남도 거제시 (4831000000)","232,777","106,101","          2.19","122,044","110,733","          1.10"
"경상남도 양산시 (4833000000)","359,920","163,406","          2.20","180,253","179,667","          1.00"
"경상남도 양산시웅상출장소 (4833200000)","0","0","          0.00","0","0","          0.00"
"경상남도 의령군 (4872000000)","25,094","14,883","          1.69","12,532","12,562","          1.00"
"경상남도 함안군 (4873000000)","58,849","30,201","          1.95","30,130","28,719","          1.05"
"경상남도 창녕군 (4874000000)","56,040","32,004","          1.75","28,092","27,948","          1.01"
"경상남도 고성군 (4882000000)","47,913","26,326","          1.82","24,262","23,651","          1.03"
"경상남도 남해군 (4884000000)","39,730","22,219","          1.79","19,343","20,387","          0.95"
"경상남도 하동군 (4885000000)","40,679","23,424","          1.74","20,348","20,331","          1.00"
"경상남도 산청군 (4886000000)","33,203","19,589","          1.69","16,438","16,765","          0.98"
"경상남도 함양군 (4887000000)","36,002","20,435","          1.76","17,561","18,441","          0.95"
"경상남도 거창군 (4888000000)","59,514","31,098","          1.91","29,241","30,273","          0.97"
"경상남도 합천군 (4889000000)","40,133","23,668","          1.70","19,738","20,395","          0.97"
"제주특별자치도  (5000000000)","669,460","314,683","          2.13","334,794","334,666","          1.00"
"제주특별자치도 제주시 (5011000000)","487,623","225,733","          2.16","243,336","244,287","          1.00"
"제주특별자치도 서귀포시 (5013000000)","181,837","88,950","          2.04","91,458","90,379","          1.01"
